file name,length of longest curation,full length of curations,number of lines,revision,number of revisions
pypi/pypi/-/psycopg2.yaml,155,156,161,"2.8.2",1
git/github/krb5/krb5.yaml,154,156,148,"97e3c42b2a89a2ec60eb93d3f974769e3e3cbdc5",1
git/github/ulfjack/ryu.yaml,101,102,108,"59661c3f883dfd39cef6dc8eaf2fcbaae53597e8",1
git/github/nodejs/node.yaml,82,117,121,"64219741218aa87e259cf8257596073b8e747f0a",8
nuget/nuget/-/jQuery.yaml,25,250,255,"1.10.2",29
nuget/nuget/-/jQuery.yaml,21,250,255,"3.4.1",29
nuget/nuget/-/jQuery.yaml,21,250,255,"3.3.1",29
nuget/nuget/-/jQuery.yaml,21,250,255,"3.1.1",29
nuget/nuget/-/jQuery.yaml,21,250,255,"3.1.0",29
nuget/nuget/-/jQuery.yaml,21,250,255,"3.0.0",29
nuget/nuget/-/jQuery.yaml,17,250,255,"2.2.3",29
nuget/nuget/-/jQuery.yaml,17,250,255,"2.1.3",29
nuget/nuget/-/jQuery.yaml,17,250,255,"1.9.1",29
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,15,230,235,"4.5.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,15,230,235,"4.5.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,11,230,235,"3.13.9",52
nuget/nuget/-/Moq.yaml,11,159,164,"4.7.1",39
nuget/nuget/-/Moq.yaml,11,159,164,"4.5.23",39
nuget/nuget/-/Moq.yaml,11,159,164,"4.5.21",39
nuget/nuget/-/Moq.yaml,11,159,164,"4.2.1510.2205",39
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,10,230,235,"5.2.7",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,10,230,235,"5.2.6",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,10,230,235,"5.1.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,10,230,235,"5.0.5",52
nuget/nuget/-/NLog.yaml,8,222,226,"4.5.7",72
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,7,230,235,"3.19.8",52
nuget/nuget/-/Microsoft.Azure.Management.Compute.yaml,5,117,122,"11.3.1-prerelease",38
git/github/nodejs/node.yaml,5,117,121,"d4982f6f5e4a9a703127489a553b8d782997ea43",8
git/github/nodejs/node.yaml,5,117,121,"b0e5f195dfce3e2b99f5091373d49f6616682596",8
git/github/nodejs/node.yaml,5,117,121,"38c72d4e29574dec5205bcf23c2a85efe65331a4",8
git/github/nodejs/node.yaml,5,117,121,"30d9e9fdd9d4c33d3d95a129d021cd8b5b91eddb",8
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,4,230,235,"2.28.3",52
nuget/nuget/-/Moq.yaml,4,159,164,"4.7.99",39
nuget/nuget/-/Moq.yaml,4,159,164,"4.7.8",39
nuget/nuget/-/Moq.yaml,4,159,164,"4.7.145",39
nuget/nuget/-/jQuery.yaml,2,250,255,"3.5.1",29
nuget/nuget/-/jQuery.yaml,2,250,255,"3.5.0",29
nuget/nuget/-/jQuery.yaml,2,250,255,"3.5.0.1",29
nuget/nuget/-/jQuery.yaml,2,250,255,"3.4.0",29
nuget/nuget/-/jQuery.yaml,2,250,255,"3.2.1",29
nuget/nuget/-/jQuery.yaml,2,250,255,"2.2.4",29
nuget/nuget/-/jQuery.yaml,2,250,255,"2.2.2",29
nuget/nuget/-/jQuery.yaml,2,250,255,"2.2.0",29
nuget/nuget/-/jQuery.yaml,2,250,255,"2.1.4",29
nuget/nuget/-/jQuery.yaml,2,250,255,"2.1.1",29
nuget/nuget/-/jQuery.yaml,2,250,255,"2.1.0",29
nuget/nuget/-/jQuery.yaml,2,250,255,"2.0.3",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.8.2",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.8.1",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.7.1.1",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.6.4",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.5.1",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.4.4",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.12.4",29
nuget/nuget/-/jQuery.yaml,2,250,255,"1.11.1",29
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.2.8",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.2.5",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.2.4",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.2.3",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.2.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.2.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.2.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.1.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"5.0.2-preview",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"4.4.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"4.4.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"4.4.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"4.3.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.6",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.5",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.4",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.3",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.19.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.3",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.2",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.17.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.16.1",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.16.0",52
nuget/nuget/-/Microsoft.IdentityModel.Clients.ActiveDirectory.yaml,2,230,235,"3.14.2",52
