file name,line count, actual content line count,number of revisions,lines per revision
gem/rubygems/-/a2km.yaml,8,3,1,3
gem/rubygems/-/geomotion.yaml,14,9,1,9
gem/rubygems/-/net-smtp-proxy.yaml,16,11,1,11
gem/rubygems/-/one_gadget.yaml,8,3,1,3
gem/rubygems/-/worthwhile.yaml,8,3,1,3
git/github/aappleby/smhasher.yaml,9,3,1,3
git/github/abrkn/semaphore.js.yaml,9,3,1,3
git/github/acdlite/recompose.yaml,9,3,1,3
git/github/actframework/actframework.yaml,18,12,1,12
git/github/activiti/activiti.yaml,9,3,1,3
git/github/ahmetalpbalkan/go-httpbin.yaml,9,3,1,3
git/github/antaris/razorengine.yaml,9,3,1,3
git/github/apache/james-mime4j.yaml,9,3,1,3
git/github/aspnet/aspnetkatana.yaml,9,3,1,3
git/github/asynchttpclient/async-http-client.yaml,9,3,1,3
git/github/automattic/cli-table.yaml,9,3,1,3
git/github/azure/azure-amqp.yaml,9,3,1,3
git/github/azure/azure-docker-extension.yaml,15,9,3,3
git/github/azure/azure-linux-extensions.yaml,15,9,3,3
git/github/azure/azure-powershell.yaml,9,3,1,3
git/github/azure/azure-sdk-for-go.yaml,9,3,1,3
git/github/azure/azurestack-tools.yaml,9,3,1,3
git/github/azure/custom-script-extension-linux.yaml,9,3,1,3
git/github/azure/rtable.yaml,9,3,1,3
git/github/baddstats/polyclip.yaml,9,3,1,3
git/github/banchichen/tzimagepickercontroller.yaml,20,14,1,14
git/github/bitcoin-core/secp256k1.yaml,9,3,1,3
git/github/bjornharrtell/jsts.yaml,30,24,8,3
git/github/blazemeter/taurus.yaml,9,3,1,3
git/github/boostorg/boost.yaml,12,6,2,3
git/github/castleproject/core.yaml,11,5,1,5
git/github/chrisdickinson/tracejs.yaml,12,6,1,6
git/github/cloudfoundry-incubator/candiedyaml.yaml,9,3,1,3
git/github/colorsublime/colorsublime-themes.yaml,9,3,1,3
git/github/component/component.yaml,9,3,1,3
git/github/cran/clisymbols.yaml,9,3,1,3
git/github/cran/rjdbc.yaml,9,3,1,3
git/github/cran/rlist.yaml,9,3,1,3
git/github/cran/tidyselect.yaml,9,3,1,3
git/github/cran/urca.yaml,9,3,1,3
git/github/cthackers/adm-zip.yaml,9,3,1,3
git/github/curl/curl.yaml,9,3,1,3
git/github/d3/d3.yaml,21,15,2,7
git/github/danielballan/nbexamples.yaml,9,3,1,3
git/github/davidebbo/webactivator.yaml,9,3,1,3
git/github/django/django.yaml,20,14,1,14
git/github/dmlc/dmlc-core.yaml,9,3,1,3
git/github/dmlc/halideir.yaml,9,3,1,3
git/github/driftyco/ionic-site.yaml,9,3,1,3
git/github/drtimcooper/latlongtotimezone.yaml,33,27,1,27
git/github/eclipse-ee4j/eclipselink.yaml,9,3,1,3
git/github/eclipse/jetty.project.yaml,9,3,1,3
git/github/eigenteam/eigen-git-mirror.yaml,9,3,1,3
git/github/emilsjolander/stickylistheaders.yaml,9,3,1,3
git/github/estools/estraverse.yaml,9,3,1,3
git/github/estools/esutils.yaml,9,3,1,3
git/github/expressjs/basic-auth-connect.yaml,9,3,1,3
git/github/facebook/rocksdb.yaml,26,20,3,6
git/github/fasterxml/aalto-xml.yaml,14,8,1,8
git/github/fasterxml/jackson-jaxrs-providers.yaml,9,3,1,3
git/github/gaborcsardi/prettyunits.yaml,9,3,1,3
git/github/gildas-lormeau/zip.js.yaml,9,3,1,3
git/github/git-for-windows/git.yaml,11,5,1,5
git/github/glennrp/libpng.yaml,9,3,1,3
git/github/glfw/glfw.yaml,9,3,1,3
git/github/gnome/libxml2.yaml,9,3,1,3
git/github/go-kit/kit.yaml,9,3,1,3
git/github/golang/go.yaml,9,3,1,3
git/github/golang/text.yaml,9,3,1,3
git/github/go-logfmt/logfmt.yaml,9,3,1,3
git/github/google/benchmark.yaml,12,6,2,3
git/github/google/glog.yaml,9,3,1,3
git/github/google/googletest.yaml,12,6,2,3
git/github/google/guice.yaml,9,3,1,3
git/github/googlei18n/libphonenumber.yaml,9,3,1,3
git/github/google/leveldb.yaml,9,3,1,3
